ADMIN2,CONTINENT,INCOME_GRP,count,rate,source,source_country,orientation
Afghanistan,Asia,5. Low income,1883,0.8564580026289577,Daily Mail,United Kingdom,Center right
Albania,Europe,4. Lower middle income,158,0.07186424026307771,Daily Mail,United Kingdom,Center right
Algeria,Africa,3. Upper middle income,162,0.07368358811783916,Daily Mail,United Kingdom,Center right
American Samoa,Oceania,3. Upper middle income,3,0.0013645108910710956,Daily Mail,United Kingdom,Center right
Andorra,Europe,2. High income: nonOECD,133,0.060493316170818566,Daily Mail,United Kingdom,Center right
Angola,Africa,3. Upper middle income,24,0.010916087128568765,Daily Mail,United Kingdom,Center right
Anguilla,North America,3. Upper middle income,1,4.548369636903652e-4,Daily Mail,United Kingdom,Center right
Antarctica,Antarctica,2. High income: nonOECD,16,0.007277391419045843,Daily Mail,United Kingdom,Center right
Argentina,South America,3. Upper middle income,642,0.29200533068921447,Daily Mail,United Kingdom,Center right
Armenia,Asia,4. Lower middle income,75,0.03411277227677739,Daily Mail,United Kingdom,Center right
Aruba,North America,2. High income: nonOECD,1,4.548369636903652e-4,Daily Mail,United Kingdom,Center right
Australia,Oceania,1. High income: OECD,8477,3.8556529412032257,Daily Mail,United Kingdom,Center right
Austria,Europe,1. High income: OECD,232,0.10552217557616474,Daily Mail,United Kingdom,Center right
Azerbaijan,Asia,3. Upper middle income,58,0.026380543894041184,Daily Mail,United Kingdom,Center right
Bahrain,Asia,2. High income: nonOECD,54,0.02456119603927972,Daily Mail,United Kingdom,Center right
Bangladesh,Asia,5. Low income,267,0.1214414693053275,Daily Mail,United Kingdom,Center right
Barbados,North America,2. High income: nonOECD,134,0.06094815313450894,Daily Mail,United Kingdom,Center right
Belarus,Europe,3. Upper middle income,581,0.26426027590410217,Daily Mail,United Kingdom,Center right
Belgium,Europe,1. High income: OECD,456,0.2074056554428065,Daily Mail,United Kingdom,Center right
Belize,North America,4. Lower middle income,19,0.008641902310116939,Daily Mail,United Kingdom,Center right
Benin,Africa,5. Low income,187,0.0850545122100983,Daily Mail,United Kingdom,Center right
Bermuda,North America,2. High income: nonOECD,28,0.012735434983330228,Daily Mail,United Kingdom,Center right
Bhutan,Asia,4. Lower middle income,9,0.004093532673213287,Daily Mail,United Kingdom,Center right
Bolivia,South America,4. Lower middle income,38,0.017283804620233878,Daily Mail,United Kingdom,Center right
Bosnia and Herzegovina,Europe,3. Upper middle income,87,0.03957081584106177,Daily Mail,United Kingdom,Center right
Botswana,Africa,3. Upper middle income,14,0.006367717491665113,Daily Mail,United Kingdom,Center right
Brazil,South America,3. Upper middle income,1251,0.5690010415766469,Daily Mail,United Kingdom,Center right
British Virgin Islands,North America,1. High income: OECD,4,0.0018193478547614609,Daily Mail,United Kingdom,Center right
Brunei,Asia,2. High income: nonOECD,78,0.035477283167848483,Daily Mail,United Kingdom,Center right
Bulgaria,Europe,3. Upper middle income,132,0.06003847920712821,Daily Mail,United Kingdom,Center right
Burkina Faso,Africa,5. Low income,55,0.02501603300297009,Daily Mail,United Kingdom,Center right
Burundi,Africa,5. Low income,18,0.008187065346426574,Daily Mail,United Kingdom,Center right
Cambodia,Asia,5. Low income,81,0.03684179405891958,Daily Mail,United Kingdom,Center right
Cameroon,Africa,4. Lower middle income,47,0.02137733729344716,Daily Mail,United Kingdom,Center right
Canada,North America,1. High income: OECD,1516,0.6895328369545937,Daily Mail,United Kingdom,Center right
Cayman Islands,North America,2. High income: nonOECD,5,0.0022741848184518257,Daily Mail,United Kingdom,Center right
Central African Republic,Africa,5. Low income,30,0.013645108910710954,Daily Mail,United Kingdom,Center right
Chad,Africa,5. Low income,99,0.04502885940534616,Daily Mail,United Kingdom,Center right
Chile,South America,3. Upper middle income,184,0.0836900013190272,Daily Mail,United Kingdom,Center right
China,Asia,3. Upper middle income,5001,2.2746396554155166,Daily Mail,United Kingdom,Center right
Colombia,South America,3. Upper middle income,269,0.12235114323270824,Daily Mail,United Kingdom,Center right
Cook Islands,Oceania,3. Upper middle income,3,0.0013645108910710956,Daily Mail,United Kingdom,Center right
