ADMIN2,CONTINENT,INCOME_GRP,count,rate,source,source_country,orientation
Afghanistan,Asia,5. Low income,1883,0.8561737264245313,Daily Mail,United Kingdom,Center right
Albania,Europe,4. Lower middle income,158,0.07184038702871798,Daily Mail,United Kingdom,Center right
Algeria,Africa,3. Upper middle income,162,0.07365913100412855,Daily Mail,United Kingdom,Center right
American Samoa,Oceania,3. Upper middle income,3,0.00136405798155793,Daily Mail,United Kingdom,Center right
Andorra,Europe,2. High income: nonOECD,133,0.06047323718240183,Daily Mail,United Kingdom,Center right
Angola,Africa,3. Upper middle income,24,0.01091246385246349,Daily Mail,United Kingdom,Center right
Anguilla,North America,3. Upper middle income,1,4.5468599385264534e-4,Daily Mail,United Kingdom,Center right
Antarctica,Antarctica,2. High income: nonOECD,16,0.00727497590164232,Daily Mail,United Kingdom,Center right
Argentina,South America,3. Upper middle income,642,0.29190840805339835,Daily Mail,United Kingdom,Center right
Armenia,Asia,4. Lower middle income,75,0.0341014495389484,Daily Mail,United Kingdom,Center right
Aruba,North America,2. High income: nonOECD,1,4.5468599385264534e-4,Daily Mail,United Kingdom,Center right
Australia,Oceania,1. High income: OECD,8477,3.8543731698888752,Daily Mail,United Kingdom,Center right
Austria,Europe,1. High income: OECD,232,0.10548715057381372,Daily Mail,United Kingdom,Center right
Azerbaijan,Asia,3. Upper middle income,58,0.02637178764345343,Daily Mail,United Kingdom,Center right
Bahrain,Asia,2. High income: nonOECD,54,0.02455304366804285,Daily Mail,United Kingdom,Center right
Bangladesh,Asia,5. Low income,267,0.12140116035865632,Daily Mail,United Kingdom,Center right
Barbados,North America,2. High income: nonOECD,134,0.06092792317625448,Daily Mail,United Kingdom,Center right
Belarus,Europe,3. Upper middle income,581,0.26417256242838694,Daily Mail,United Kingdom,Center right
Belgium,Europe,1. High income: OECD,456,0.20733681319680627,Daily Mail,United Kingdom,Center right
Belize,North America,4. Lower middle income,19,0.00863903388320026,Daily Mail,United Kingdom,Center right
Benin,Africa,5. Low income,187,0.08502628085044468,Daily Mail,United Kingdom,Center right
Bermuda,North America,2. High income: nonOECD,28,0.01273120782787407,Daily Mail,United Kingdom,Center right
Bhutan,Asia,4. Lower middle income,9,0.0040921739446738,Daily Mail,United Kingdom,Center right
Bolivia,South America,4. Lower middle income,38,0.01727806776640052,Daily Mail,United Kingdom,Center right
Bosnia and Herzegovina,Europe,3. Upper middle income,87,0.03955768146518014,Daily Mail,United Kingdom,Center right
Botswana,Africa,3. Upper middle income,14,0.00636560391393703,Daily Mail,United Kingdom,Center right
Brazil,South America,3. Upper middle income,1251,0.5688121783096594,Daily Mail,United Kingdom,Center right
British Virgin Islands,North America,1. High income: OECD,4,0.00181874397541058,Daily Mail,United Kingdom,Center right
Brunei,Asia,2. High income: nonOECD,78,0.03546550752050634,Daily Mail,United Kingdom,Center right
Bulgaria,Europe,3. Upper middle income,132,0.06001855118854918,Daily Mail,United Kingdom,Center right
Burkina Faso,Africa,5. Low income,55,0.02500772966189549,Daily Mail,United Kingdom,Center right
Burundi,Africa,5. Low income,18,0.00818434788934761,Daily Mail,United Kingdom,Center right
Cambodia,Asia,5. Low income,81,0.03682956550206427,Daily Mail,United Kingdom,Center right
Cameroon,Africa,4. Lower middle income,47,0.02137024171107433,Daily Mail,United Kingdom,Center right
Canada,North America,1. High income: OECD,1516,0.6893039666806103,Daily Mail,United Kingdom,Center right
Cayman Islands,North America,2. High income: nonOECD,5,0.00227342996926322,Daily Mail,United Kingdom,Center right
Central African Republic,Africa,5. Low income,30,0.01364057981557936,Daily Mail,United Kingdom,Center right
Chad,Africa,5. Low income,99,0.04501391339141189,Daily Mail,United Kingdom,Center right
Chile,South America,3. Upper middle income,184,0.08366222286888675,Daily Mail,United Kingdom,Center right
China,Asia,3. Upper middle income,5001,2.2738846552570795,Daily Mail,United Kingdom,Center right
Colombia,South America,3. Upper middle income,269,0.1223105323463616,Daily Mail,United Kingdom,Center right
Cook Islands,Oceania,3. Upper middle income,3,0.00136405798155793,Daily Mail,United Kingdom,Center right
Costa Rica,North America,3. Upper middle income,48,0.02182492770492698,Daily Mail,United Kingdom,Center right
Croatia,Europe,2. High income: nonOECD,158,0.07184038702871798,Daily Mail,United Kingdom,Center right
Cuba,North America,3. Upper middle income,742,0.3373770074386629,Daily Mail,United Kingdom,Center right
Curaçao,North America,2. High income: nonOECD,1,4.5468599385264534e-4,Daily Mail,United Kingdom,Center right
Cyprus,Asia,2. High income: nonOECD,127,0.05774512121928596,Daily Mail,United Kingdom,Center right
Czechia,Europe,1. High income: OECD,378,0.1718713056762999,Daily Mail,United Kingdom,Center right
Democratic Republic of the Congo,Africa,5. Low income,671,0.30509430187512504,Daily Mail,United Kingdom,Center right
Denmark,Europe,1. High income: OECD,322,0.1464088900205518,Daily Mail,United Kingdom,Center right
Djibouti,Africa,4. Lower middle income,13,0.00591091792008439,Daily Mail,United Kingdom,Center right
Dominica,North America,3. Upper middle income,328,0.14913700598366766,Daily Mail,United Kingdom,Center right
Dominican Republic,North America,3. Upper middle income,49,0.02227961369877962,Daily Mail,United Kingdom,Center right
East Timor,Asia,4. Lower middle income,3,0.00136405798155793,Daily Mail,United Kingdom,Center right
Ecuador,South America,3. Upper middle income,96,0.04364985540985396,Daily Mail,United Kingdom,Center right
Egypt,Africa,4. Lower middle income,328,0.14913700598366766,Daily Mail,United Kingdom,Center right
El Salvador,North America,4. Lower middle income,241,0.10957932451848754,Daily Mail,United Kingdom,Center right
Equatorial Guinea,Africa,2. High income: nonOECD,8,0.00363748795082116,Daily Mail,United Kingdom,Center right
Eritrea,Africa,5. Low income,251,0.114126184457014,Daily Mail,United Kingdom,Center right
Estonia,Europe,1. High income: OECD,383,0.17414473564556315,Daily Mail,United Kingdom,Center right
eSwatini,Africa,4. Lower middle income,23,0.01045777785861084,Daily Mail,United Kingdom,Center right
Ethiopia,Africa,5. Low income,430,0.19551497735663753,Daily Mail,United Kingdom,Center right
Falkland Islands,South America,1. High income: OECD,1,4.5468599385264534e-4,Daily Mail,United Kingdom,Center right
Faroe Islands,Europe,2. High income: nonOECD,21,0.00954840587090555,Daily Mail,United Kingdom,Center right
Federated States of Micronesia,Oceania,4. Lower middle income,1,4.5468599385264534e-4,Daily Mail,United Kingdom,Center right
Fiji,Oceania,4. Lower middle income,96,0.04364985540985396,Daily Mail,United Kingdom,Center right
Finland,Europe,1. High income: OECD,137,0.06229198115781241,Daily Mail,United Kingdom,Center right
France,Europe,1. High income: OECD,2608,1.1858210719676991,Daily Mail,United Kingdom,Center right
French Polynesia,Oceania,2. High income: nonOECD,9,0.0040921739446738,Daily Mail,United Kingdom,Center right
Gabon,Africa,3. Upper middle income,21,0.00954840587090555,Daily Mail,United Kingdom,Center right
Gambia,Africa,5. Low income,32,0.01454995180328465,Daily Mail,United Kingdom,Center right
Georgia,Asia,4. Lower middle income,778,0.3537457032173581,Daily Mail,United Kingdom,Center right
Germany,Europe,1. High income: OECD,2260,1.0275903461069786,Daily Mail,United Kingdom,Center right
Ghana,Africa,4. Lower middle income,51,0.02318898568648491,Daily Mail,United Kingdom,Center right
Greece,Europe,1. High income: OECD,385,0.17505410763326848,Daily Mail,United Kingdom,Center right
Greenland,North America,2. High income: nonOECD,24,0.01091246385246349,Daily Mail,United Kingdom,Center right
Grenada,North America,3. Upper middle income,35,0.01591400978484258,Daily Mail,United Kingdom,Center right
Guam,Oceania,2. High income: nonOECD,5,0.00227342996926322,Daily Mail,United Kingdom,Center right
Guatemala,North America,4. Lower middle income,66,0.03000927559427459,Daily Mail,United Kingdom,Center right
Guernsey,Europe,2. High income: nonOECD,3,0.00136405798155793,Daily Mail,United Kingdom,Center right
Guinea,Africa,5. Low income,190,0.08639033883200262,Daily Mail,United Kingdom,Center right
Guinea-Bissau,Africa,5. Low income,3,0.00136405798155793,Daily Mail,United Kingdom,Center right
Guyana,South America,4. Lower middle income,20,0.0090937198770529,Daily Mail,United Kingdom,Center right
Haiti,North America,5. Low income,611,0.2778131422439663,Daily Mail,United Kingdom,Center right
Honduras,North America,4. Lower middle income,64,0.0290999036065693,Daily Mail,United Kingdom,Center right
Hong Kong S.A.R.,Asia,2. High income: nonOECD,1457,0.6624774930433043,Daily Mail,United Kingdom,Center right
Hungary,Europe,1. High income: OECD,421,0.19142280341196372,Daily Mail,United Kingdom,Center right
Iceland,Europe,1. High income: OECD,68,0.03091864758197988,Daily Mail,United Kingdom,Center right
India,Asia,4. Lower middle income,5681,2.583071131076878,Daily Mail,United Kingdom,Center right
Indonesia,Asia,4. Lower middle income,403,0.18323845552261608,Daily Mail,United Kingdom,Center right
Iran,Asia,3. Upper middle income,3353,1.52456213738792,Daily Mail,United Kingdom,Center right
Iraq,Asia,4. Lower middle income,455,0.20688212720295365,Daily Mail,United Kingdom,Center right
Ireland,Europe,1. High income: OECD,1286,0.5847261880945019,Daily Mail,United Kingdom,Center right
Isle of Man,Europe,2. High income: nonOECD,5,0.00227342996926322,Daily Mail,United Kingdom,Center right
Israel,Asia,1. High income: OECD,1057,0.48060309550224617,Daily Mail,United Kingdom,Center right
Italy,Europe,1. High income: OECD,2822,1.2831238746521652,Daily Mail,United Kingdom,Center right
Ivory Coast,Africa,4. Lower middle income,83,0.03773893748976956,Daily Mail,United Kingdom,Center right
Jamaica,North America,3. Upper middle income,117,0.05319826128075951,Daily Mail,United Kingdom,Center right
Japan,Asia,1. High income: OECD,3886,1.7669097721113798,Daily Mail,United Kingdom,Center right
Jersey,Europe,2. High income: nonOECD,217,0.09866686066602404,Daily Mail,United Kingdom,Center right
Jordan,Asia,3. Upper middle income,439,0.19960715130131132,Daily Mail,United Kingdom,Center right
Kazakhstan,Asia,3. Upper middle income,37,0.01682338177254787,Daily Mail,United Kingdom,Center right
Kenya,Africa,5. Low income,241,0.10957932451848754,Daily Mail,United Kingdom,Center right
Kosovo,Europe,4. Lower middle income,80,0.03637487950821163,Daily Mail,United Kingdom,Center right
Kuwait,Asia,2. High income: nonOECD,70,0.03182801956968517,Daily Mail,United Kingdom,Center right
Kyrgyzstan,Asia,5. Low income,3,0.00136405798155793,Daily Mail,United Kingdom,Center right
Laos,Asia,4. Lower middle income,4,0.00181874397541058,Daily Mail,United Kingdom,Center right
Latvia,Europe,3. Upper middle income,42,0.0190968117418111,Daily Mail,United Kingdom,Center right
Lebanon,Asia,3. Upper middle income,567,0.25780695851444996,Daily Mail,United Kingdom,Center right
Lesotho,Africa,4. Lower middle income,1,4.5468599385264534e-4,Daily Mail,United Kingdom,Center right
Liberia,Africa,5. Low income,470,0.21370241711074336,Daily Mail,United Kingdom,Center right
Libya,Africa,3. Upper middle income,269,0.1223105323463616,Daily Mail,United Kingdom,Center right
Liechtenstein,Europe,2. High income: nonOECD,18,0.00818434788934761,Daily Mail,United Kingdom,Center right
Lithuania,Europe,3. Upper middle income,126,0.05729043522543332,Daily Mail,United Kingdom,Center right
Luxembourg,Europe,1. High income: OECD,45,0.02046086972336904,Daily Mail,United Kingdom,Center right
Macao S.A.R,Asia,2. High income: nonOECD,44,0.02000618372951639,Daily Mail,United Kingdom,Center right
Madagascar,Africa,5. Low income,23,0.01045777785861084,Daily Mail,United Kingdom,Center right
Malawi,Africa,5. Low income,7,0.00318280195696851,Daily Mail,United Kingdom,Center right
Malaysia,Asia,3. Upper middle income,400,0.18187439754105816,Daily Mail,United Kingdom,Center right
Maldives,Seven seas (open ocean),3. Upper middle income,37,0.01682338177254787,Daily Mail,United Kingdom,Center right
Mali,Africa,5. Low income,634,0.28827092010257716,Daily Mail,United Kingdom,Center right
Malta,Europe,2. High income: nonOECD,49,0.02227961369877962,Daily Mail,United Kingdom,Center right
Marshall Islands,Oceania,4. Lower middle income,2,9.093719877052908e-4,Daily Mail,United Kingdom,Center right
Mauritania,Africa,5. Low income,4,0.00181874397541058,Daily Mail,United Kingdom,Center right
Mauritius,Seven seas (open ocean),3. Upper middle income,13,0.00591091792008439,Daily Mail,United Kingdom,Center right
Mexico,North America,3. Upper middle income,1309,0.5951839659531128,Daily Mail,United Kingdom,Center right
Moldova,Europe,4. Lower middle income,60,0.02728115963115872,Daily Mail,United Kingdom,Center right
Monaco,Europe,2. High income: nonOECD,255,0.11594492843242456,Daily Mail,United Kingdom,Center right
Mongolia,Asia,4. Lower middle income,18,0.00818434788934761,Daily Mail,United Kingdom,Center right
Montenegro,Europe,3. Upper middle income,34,0.01545932379098994,Daily Mail,United Kingdom,Center right
Montserrat,North America,4. Lower middle income,1,4.5468599385264534e-4,Daily Mail,United Kingdom,Center right
Morocco,Africa,4. Lower middle income,178,0.08093410690577088,Daily Mail,United Kingdom,Center right
Mozambique,Africa,5. Low income,52,0.02364367168033756,Daily Mail,United Kingdom,Center right
Myanmar,Asia,5. Low income,439,0.19960715130131132,Daily Mail,United Kingdom,Center right
Namibia,Africa,3. Upper middle income,56,0.02546241565574814,Daily Mail,United Kingdom,Center right
Nauru,Oceania,4. Lower middle income,17,0.00772966189549497,Daily Mail,United Kingdom,Center right
Nepal,Asia,5. Low income,49,0.02227961369877962,Daily Mail,United Kingdom,Center right
Netherlands,Europe,1. High income: OECD,641,0.2914537220595457,Daily Mail,United Kingdom,Center right
New Caledonia,Oceania,2. High income: nonOECD,6,0.00272811596311587,Daily Mail,United Kingdom,Center right
New Zealand,Oceania,1. High income: OECD,814,0.3701143989960533,Daily Mail,United Kingdom,Center right
Nicaragua,North America,4. Lower middle income,104,0.04728734336067512,Daily Mail,United Kingdom,Center right
Niger,Africa,5. Low income,509,0.2314351708709965,Daily Mail,United Kingdom,Center right
Nigeria,Africa,4. Lower middle income,624,0.2837240601640507,Daily Mail,United Kingdom,Center right
Niue,Oceania,3. Upper middle income,276,0.12549333430333012,Daily Mail,United Kingdom,Center right
North Korea,Asia,5. Low income,164,0.07456850299183383,Daily Mail,United Kingdom,Center right
North Macedonia,Europe,3. Upper middle income,78,0.03546550752050634,Daily Mail,United Kingdom,Center right
Northern Cyprus,Asia,3. Upper middle income,1,4.5468599385264534e-4,Daily Mail,United Kingdom,Center right
Norway,Europe,1. High income: OECD,375,0.170507247694742,Daily Mail,United Kingdom,Center right
Oman,Asia,2. High income: nonOECD,922,0.41922048633213904,Daily Mail,United Kingdom,Center right
Pakistan,Asia,4. Lower middle income,634,0.28827092010257716,Daily Mail,United Kingdom,Center right
Palau,Oceania,3. Upper middle income,637,0.28963497808413513,Daily Mail,United Kingdom,Center right
Palestine,Asia,4. Lower middle income,238,0.1082152665369296,Daily Mail,United Kingdom,Center right
Panama,North America,3. Upper middle income,60,0.02728115963115872,Daily Mail,United Kingdom,Center right
Papua New Guinea,Oceania,4. Lower middle income,30,0.01364057981557936,Daily Mail,United Kingdom,Center right
Paraguay,South America,4. Lower middle income,46,0.02091555571722168,Daily Mail,United Kingdom,Center right
Peru,South America,3. Upper middle income,186,0.08457159485659203,Daily Mail,United Kingdom,Center right
Philippines,Asia,4. Lower middle income,336,0.15277449393448886,Daily Mail,United Kingdom,Center right
Poland,Europe,1. High income: OECD,873,0.39694087263335937,Daily Mail,United Kingdom,Center right
Portugal,Europe,1. High income: OECD,488,0.2218867650000909,Daily Mail,United Kingdom,Center right
Puerto Rico,North America,2. High income: nonOECD,68,0.03091864758197988,Daily Mail,United Kingdom,Center right
Qatar,Asia,2. High income: nonOECD,359,0.16323227179309968,Daily Mail,United Kingdom,Center right
Republic of Serbia,Europe,3. Upper middle income,369,0.16777913173162615,Daily Mail,United Kingdom,Center right
Romania,Europe,3. Upper middle income,163,0.0741138169979812,Daily Mail,United Kingdom,Center right
Russia,Europe,3. Upper middle income,3360,1.5277449393448883,Daily Mail,United Kingdom,Center right
Rwanda,Africa,5. Low income,78,0.03546550752050634,Daily Mail,United Kingdom,Center right
Saint Helena,Seven seas (open ocean),4. Lower middle income,144,0.06547478311478093,Daily Mail,United Kingdom,Center right
Saint Lucia,North America,3. Upper middle income,2,9.093719877052908e-4,Daily Mail,United Kingdom,Center right
Samoa,Oceania,4. Lower middle income,37,0.01682338177254787,Daily Mail,United Kingdom,Center right
San Marino,Europe,2. High income: nonOECD,23,0.01045777785861084,Daily Mail,United Kingdom,Center right
Saudi Arabia,Asia,2. High income: nonOECD,439,0.19960715130131132,Daily Mail,United Kingdom,Center right
Senegal,Africa,4. Lower middle income,144,0.06547478311478093,Daily Mail,United Kingdom,Center right
Seychelles,Seven seas (open ocean),3. Upper middle income,7,0.00318280195696851,Daily Mail,United Kingdom,Center right
Sierra Leone,Africa,5. Low income,698,0.31737082370914643,Daily Mail,United Kingdom,Center right
Singapore,Asia,2. High income: nonOECD,284,0.1291308222541513,Daily Mail,United Kingdom,Center right
Slovakia,Europe,1. High income: OECD,67,0.03046396158812724,Daily Mail,United Kingdom,Center right
Slovenia,Europe,1. High income: OECD,82,0.03728425149591691,Daily Mail,United Kingdom,Center right
Somalia,Africa,5. Low income,83,0.03773893748976956,Daily Mail,United Kingdom,Center right
Somaliland,Africa,4. Lower middle income,2,9.093719877052908e-4,Daily Mail,United Kingdom,Center right
South Africa,Africa,3. Upper middle income,901,0.4096720804612335,Daily Mail,United Kingdom,Center right
South Korea,Asia,1. High income: OECD,1229,0.5588090864449012,Daily Mail,United Kingdom,Center right
South Sudan,Africa,5. Low income,44,0.02000618372951639,Daily Mail,United Kingdom,Center right
Spain,Europe,1. High income: OECD,1542,0.7011258025207792,Daily Mail,United Kingdom,Center right
Sri Lanka,Asia,4. Lower middle income,735,0.3341942054816944,Daily Mail,United Kingdom,Center right
Sudan,Africa,4. Lower middle income,378,0.1718713056762999,Daily Mail,United Kingdom,Center right
Suriname,South America,3. Upper middle income,7,0.00318280195696851,Daily Mail,United Kingdom,Center right
Sweden,Europe,1. High income: OECD,342,0.15550260989760473,Daily Mail,United Kingdom,Center right
Switzerland,Europe,1. High income: OECD,368,0.1673244457377735,Daily Mail,United Kingdom,Center right
Syria,Asia,4. Lower middle income,388,0.1764181656148264,Daily Mail,United Kingdom,Center right
Taiwan,Asia,2. High income: nonOECD,511,0.2323445428587018,Daily Mail,United Kingdom,Center right
